lat	lon	POI
40.74137425	-73.9881052167	1
40.6438845363	-73.78280639649999	2
40.645919692	-73.7779355049	3
37.616356064899996	-122.3861503601	4
37.6006216167	-122.38214669999999	5
37.7794153515	-122.4235334158	6
37.7784672	-122.3932231667	7
26.0711624187	-80.1420879364	8
27.980938738200003	-82.53469347949999	9
39.2946699535	-94.7190999985	10
39.2974431129	-94.71605300899999	11
40.6912468675	-74.1795158386	12
60.1935107014	11.0982513428	13
59.9235331821	10.7572406944	14
40.7458101407	-73.98822069170001	15
40.7613333866	-73.9775025845	16
32.8974616458	-97.04034805299999	17
37.4157602871	-122.1525514126	18
37.3695091644	-121.9295632839	19
37.4159477566	-122.15197205540001	20
37.7770411473	-122.4228215218	21
37.44433405	-122.16162565	22
30.263607974299997	-97.7395677567	23
30.2625321506	-97.73932440040001	24
30.262253	-97.72941999999999	25
30.266996000000002	-97.74426690000001	26
30.268471	-97.744632	27
33.4357390069	-112.00115203860001	28
45.5892063854	-122.5972938538	29
30.201557329699998	-97.6671266556	30
32.9049563191	-97.0450043678	31
33.9435379571	-118.4071683884	32
34.0734129064	-118.24021697040001	33
20.8940980253	-156.4365577698	34
39.1242853167	-94.8312156667	35
38.9716797721	-95.2358114719	36
38.91129785	-94.7688343333	37
49.195026361800004	-123.177895546	38
43.686060054399995	-79.61963653560001	39
45.4577583	-73.7500316	40
37.7643876667	-122.43267079999998	41
37.7858090278	-122.4010634422	42
34.1961143486	-118.3539104462	43
37.7859157735	-122.41287010399999	44
34.0430230998	-118.26715707780001	45
30.2650364594	-97.74618311190001	46
30.2691029532	-97.7493953705	47
30.2638859739	-97.7379798889	48
30.266552413200003	-97.73965626959999	49
30.2838025946	-97.72057503459999	50
30.265313025999998	-97.73863703010001	51
30.254141466700002	-97.7623172167	52
30.267336333299998	-97.74463275	53
30.2686964002	-97.7456147969	54
37.3664565757	-121.92633390430001	55
37.614183822600005	-122.389690876	56
37.7719274835	-122.40397095680001	57
35.6118483681	-97.5583791733	58
35.5327453613	-97.53204345700001	59
35.4792595713	-97.5214129686	60
30.243390662800003	-97.88271188739999	61
30.260705148400003	-97.7378162742	62
30.2600986871	-97.73856530489999	63
30.2666937255	-97.7457904816	64
30.2638149167	-97.728796	65
35.7701934779	140.386390686	66
37.796042559	-122.3942828178	67
37.782421560900005	-122.3925822973	68
37.4436088667	-122.16070865	69
37.3773555	-122.0300114667	70
33.6406735809	-84.4326728582	71
33.6386325813	-84.4371414185	72
35.780001270599996	-78.644798398	73
35.2201261779	-80.9439504147	74
30.263607974299997	-97.7395677567	75
30.2656280866	-97.740790844	76
30.265294493000003	-97.73854851719999	77
30.2700851599	-97.73605406280001	78
30.266591795300002	-97.7367460728	79
30.2668906357	-97.74568587540001	80
30.2642844386	-97.7392995358	81
